,,,,,,,
,field name,BE variable name,field type,default value,description (or logic),comments,
,lifestage,lifestage,varchar/enum,Dervied metric,"Standardise after processing lifestage_raw
- kitten: or 2-12 months or growth
- adult: or maintainance
- senior: or 7 years +
- medical: eg. urinary/kidney health etc.
- breed: for one specific breed
- unknown: none of the above or non-decipherable",,
,type,type,varchar/enum,Dervied metric,"Derive directly from text on pack (type_raw) or use moisture %: < 20% = Dry food. > 60% use wet food. Mark as treat when mentioned explicitely on pack
- dry
- wet
- creamy treat
- other treat
- unknown",,
,type_method,typeMethod,varchar/enum,Dervied metric,"Method of deriving type:
- pack
- moisture
- other",,
,adequacy,adequacy,varchar/enum,Required,"- complete: in case of complete or both complete and balanced
- complementary
- treat
- unknown",,
,texture,texture,enum,NULL,"Derive from name or what's mentioned on the pack
- Jelly, Broth, Flakes, Dry kibble, Mousse, Paste, Chunks, Gravy etc.",,
,aafco_certified,aafcoCertified,boolean,FALSE,TRUE if it specified that it meets AAFCO standards,,
,other_certifications,otherCertifications,array,NULL,Comma separated statements of any regulated terms/certifications mentioned on the pack,,
,claims,claims,array,NULL,Claims made by the brand on the pack listed in a comma separated string,,
,intended_use,intendedUse,varchar,NULL,"urinary diet, hairball control, GI diet, etc.
does not include all claims like ""soft fur"" etc. NULL if nothing specified",,
,ingredients,ingredients,array,Required,"comma separated names of ingredients present, in the same order as on pack: ingredient_name or ingredient_name (x) where x is the quantity mentioned eg,. 40%, 600IU",,
,additives,additives,array,NULL,"comma separated names of additives present, in the same order as on pack: ingredient_name or ingredient_name (x) where x is the quantity mentioned eg,. 40%, 600IU",,
,guaranteed_analysis,guaranteedAnalysis,json,Required,"json with % for each key in value betweel 0-1, NULL if not present or low confidence
assume crude protein is protein & similar for other nutrients.
{protein: , 
 fat: , 
 fibre: , 
 ash: , 
 moisture:
 others: [{ }]
}",Are there any other such fields?,
,taurine_added,taurineAdded,boolean,NULL,"TRUE if it specified that it has additional taurine added, if not specified, makr as false. Leave as null if unsure",,
,weight,weight,int,Required,"in grams, for single unit",,
,price,price,int,NULL,Cost mentioned for single unit,,
,priceCurrency,priceCurrency,varchar/enum,INR,"currency of cost, change if not in INR",,
